cvsin_type_2  
Start(mV):      5.000000E+02
End(mV):        5.000000E+02
Max(mV):       -5.000000E+02
Min(mV):       -5.000000E+02
Freq1(Hz):      1.800000E+02
Amp1(mV):       0.000000E+00
Phase1(deg):    0.000000E+00
Freq2(Hz):      1.000000E+00
Amp2(mV):       0.000000E+00
Phase2(deg):    0.000000E+00
Freq3(Hz):      1.000000E+00
Amp3(mV):       0.000000E+00
Phase3(deg):    0.000000E+00
Freq4(Hz):      1.000000E+00
Amp4(mV):       0.000000E+00
Phase4(deg):    0.000000E+00
Freq5(Hz):      1.000000E+00
Amp5(mV):       0.000000E+00
Phase5(deg):    0.000000E+00
Freq6(Hz):      1.000000E+00
Amp6(mV):       0.000000E+00
Phase6(deg):    0.000000E+00
Freq7(Hz):      1.000000E+00
Amp7(mV):       0.000000E+00
Phase7(deg):    0.000000E+00
Freq8(Hz):      1.000000E+00
Amp8(mV):       0.000000E+00
Phase8(deg):    0.000000E+00
Type(0-4):      4 
Rate(mV/s):     1.000000E+03
Direction:      c 
Scans:  1
Average:        19
Gain(0-4):      1 
Initial(mV):    5.000000E+02
Initial(mS):    1.000000E+04
Pre(mV):        0.000000E+00
Pre(ms):        0.000000E+00
Post(mV):       0.000000E+00
Post(ms):       0.000000E+00
 4.715576E-01  -1.272827E-15   2.844238E-02
 4.714355E-01  -1.292715E-15   2.856445E-02
 4.713135E-01  -1.292715E-15   2.868652E-02
 4.711914E-01  -1.272827E-15   2.880859E-02
 4.710693E-01  -1.292715E-15   2.893066E-02
 4.709473E-01  -1.332491E-15   2.905273E-02
 4.708252E-01  -1.312603E-15   2.917480E-02
 4.707031E-01  -1.312603E-15   2.929688E-02
 4.705811E-01  -1.332491E-15   2.941895E-02
 4.704590E-01  -1.332491E-15   2.954102E-02
 4.703369E-01  -1.332491E-15   2.966309E-02
 4.702148E-01  -1.352379E-15   2.978516E-02
 4.700928E-01  -1.352379E-15   2.990723E-02
 4.699707E-01  -1.372267E-15   3.002930E-02
 4.698486E-01  -1.372267E-15   3.015137E-02
 4.697266E-01  -1.372267E-15   3.027344E-02
 4.696045E-01  -1.392155E-15   3.039551E-02
 4.694824E-01  -1.392155E-15   3.051758E-02
 4.693604E-01  -1.372267E-15   3.063965E-02
 4.692383E-01  -1.412043E-15   3.076172E-02
 4.691162E-01  -1.392155E-15   3.088379E-02
 4.689941E-01  -1.412043E-15   3.100586E-02
 4.688721E-01  -1.392155E-15   3.112793E-02
 4.687500E-01  -1.431931E-15   3.125000E-02
 4.686279E-01  -1.431931E-15   3.137207E-02
 4.685059E-01  -1.431931E-15   3.149414E-02
 4.683838E-01  -1.431931E-15   3.161621E-02
 4.682617E-01  -1.471706E-15   3.173828E-02
 4.681396E-01  -1.451818E-15   3.186035E-02
 4.680176E-01  -1.451818E-15   3.198242E-02
 4.678955E-01  -1.451818E-15   3.210449E-02
 4.677734E-01  -1.471706E-15   3.222656E-02
 4.676514E-01  -1.491594E-15   3.234863E-02
 4.675293E-01  -1.491594E-15   3.247070E-02
 4.674072E-01  -1.491594E-15   3.259277E-02
 4.672852E-01  -1.511482E-15   3.271484E-02
 4.671631E-01  -1.511482E-15   3.283691E-02
 4.670410E-01  -1.491594E-15   3.295898E-02
 4.669189E-01  -1.531370E-15   3.308105E-02
 4.667969E-01  -1.531370E-15   3.320312E-02
 4.666748E-01  -1.531370E-15   3.332520E-02
 4.665527E-01  -1.531370E-15   3.344727E-02
 4.664307E-01  -1.551258E-15   3.356934E-02
 4.663086E-01  -1.551258E-15   3.369141E-02
 4.661865E-01  -1.551258E-15   3.381348E-02
 4.660645E-01  -1.571146E-15   3.393555E-02
 4.659424E-01  -1.591034E-15   3.405762E-02
 4.658203E-01  -1.591034E-15   3.417969E-02
 4.656982E-01  -1.551258E-15   3.430176E-02
 4.655762E-01  -1.630810E-15   3.442383E-02
 4.654541E-01  -1.610922E-15   3.454590E-02
 4.653320E-01  -1.630810E-15   3.466797E-02
 4.652100E-01  -1.591034E-15   3.479004E-02
 4.650879E-01  -1.630810E-15   3.491211E-02
 4.649658E-01  -1.630810E-15   3.503418E-02
 4.648438E-01  -1.610922E-15   3.515625E-02
 4.647217E-01  -1.630810E-15   3.527832E-02
 4.645996E-01  -1.650698E-15   3.540039E-02
 4.644775E-01  -1.670586E-15   3.552246E-02
 4.643555E-01  -1.650698E-15   3.564453E-02
 4.642334E-01  -1.690474E-15   3.576660E-02
 4.641113E-01  -1.690474E-15   3.588867E-02
 4.639893E-01  -1.690474E-15   3.601074E-02
 4.638672E-01  -1.710361E-15   3.613281E-02
 4.637451E-01  -1.670586E-15   3.625488E-02
 4.636230E-01  -1.690474E-15   3.637695E-02
 4.635010E-01  -1.730249E-15   3.649902E-02
 4.633789E-01  -1.730249E-15   3.662109E-02
 4.632568E-01  -1.710361E-15   3.674316E-02
 4.631348E-01  -1.730249E-15   3.686523E-02
 4.630127E-01  -1.789913E-15   3.698730E-02
 4.628906E-01  -1.750137E-15   3.710938E-02
 4.627686E-01  -1.750137E-15   3.723145E-02
 4.626465E-01  -1.750137E-15   3.735352E-02
 4.625244E-01  -1.770025E-15   3.747559E-02
 4.624023E-01  -1.789913E-15   3.759766E-02
 4.622803E-01  -1.789913E-15   3.771973E-02
 4.621582E-01  -1.809801E-15   3.784180E-02
 4.620361E-01  -1.809801E-15   3.796387E-02
 4.619141E-01  -1.829689E-15   3.808594E-02
 4.617920E-01  -1.849577E-15   3.820801E-02
 4.616699E-01  -1.829689E-15   3.833008E-02
 4.615479E-01  -1.829689E-15   3.845215E-02
 4.614258E-01  -1.869465E-15   3.857422E-02
 4.613037E-01  -1.849577E-15   3.869629E-02
 4.611816E-01  -1.869465E-15   3.881836E-02
 4.610596E-01  -1.889353E-15   3.894043E-02
 4.609375E-01  -1.869465E-15   3.906250E-02
 4.608154E-01  -1.929129E-15   3.918457E-02
 4.606934E-01  -1.909241E-15   3.930664E-02
 4.605713E-01  -1.909241E-15   3.942871E-02
 4.604492E-01  -1.909241E-15   3.955078E-02
 4.603271E-01  -1.909241E-15   3.967285E-02
 4.602051E-01  -1.968904E-15   3.979492E-02
 4.600830E-01  -1.949017E-15   3.991699E-02
 4.599609E-01  -1.988792E-15   4.003906E-02
 4.598389E-01  -1.988792E-15   4.016113E-02
 4.597168E-01  -1.988792E-15   4.028320E-02
 4.595947E-01  -1.988792E-15   4.040527E-02
 4.594727E-01  -2.008680E-15   4.052734E-02
 4.593506E-01  -1.988792E-15   4.064941E-02
 4.592285E-01  -2.008680E-15   4.077148E-02
 4.591064E-01  -2.008680E-15   4.089355E-02
 4.589844E-01  -2.048456E-15   4.101562E-02
 4.588623E-01  -2.048456E-15   4.113770E-02
 4.587402E-01  -2.068344E-15   4.125977E-02
 4.586182E-01  -2.088232E-15   4.138184E-02
 4.584961E-01  -2.088232E-15   4.150391E-02
 4.583740E-01  -2.108120E-15   4.162598E-02
 4.582520E-01  -2.088232E-15   4.174805E-02
 4.581299E-01  -2.108120E-15   4.187012E-02
 4.580078E-01  -2.128008E-15   4.199219E-02
 4.578857E-01  -2.108120E-15   4.211426E-02
 4.577637E-01  -2.167784E-15   4.223633E-02
 4.576416E-01  -2.147896E-15   4.235840E-02
 4.575195E-01  -2.128008E-15   4.248047E-02
 4.573975E-01  -2.147896E-15   4.260254E-02
 4.572754E-01  -2.167784E-15   4.272461E-02
 4.571533E-01  -2.207560E-15   4.284668E-02
 4.570312E-01  -2.207560E-15   4.296875E-02
 4.569092E-01  -2.207560E-15   4.309082E-02
 4.567871E-01  -2.207560E-15   4.321289E-02
 4.566650E-01  -2.207560E-15   4.333496E-02
 4.565430E-01  -2.227448E-15   4.345703E-02
 4.564209E-01  -2.227448E-15   4.357910E-02
 4.562988E-01  -2.247335E-15   4.370117E-02
 4.561768E-01  -2.247335E-15   4.382324E-02
 4.560547E-01  -2.267223E-15   4.394531E-02
 4.559326E-01  -2.287111E-15   4.406738E-02
 4.558105E-01  -2.287111E-15   4.418945E-02
